OBJECTID,country,project_id,project_name,group_id,group_name,project_status,class,sub_class,grant_reference,phase,hectares,Shape__Area,Shape__Length
1421,England,104000000027479,Ripley Hill,,,Validated,Planted,Broadleaved (>80%),EWCO 48 21_22 – Ripley Hill,7,0.6,5952.592849731445,780.0752140600202
1422,England,104000000027479,Ripley Hill,,,Validated,Planted,Mixed predominantly broadleaved (50-80%),EWCO 48 21_22 – Ripley Hill,7,1.62,16173.972961425781,1165.369930951375
1423,England,104000000027479,Ripley Hill,,,Validated,Planted,Conifer (>80%),EWCO 48 21_22 – Ripley Hill,7,11.41,114142.21965026855,3892.32907007276
1424,England,104000000027479,Ripley Hill,,,Validated,Other,Open Ground,EWCO 48 21_22 – Ripley Hill,7,1.53,15290.812156233937,3828.027316159106
1425,Scotland,104000000027483,Carr Seasg,,,Validated,Planted,Broadleaved (>80%),18FGS33018,8,24.67,246690.36032104492,8439.603413033004
1426,Scotland,104000000027483,Carr Seasg,,,Validated,Other,Existing Woodland,18FGS33018,8,4.89,48930.50477600098,5056.683101639315
1427,Scotland,104000000027483,Carr Seasg,,,Validated,Other,Open Ground,18FGS33018,8,27.87,278712.6222457886,9773.799100820579
1428,Scotland,104000000027485,Glen Quoich,103000000017277,Lude and Invergarry Farms Group 1,Validated,Planted,Broadleaved (>80%),20FGS48963,7,46.62,466239.83528137207,10916.963454236382
1429,Scotland,104000000027485,Glen Quoich,103000000017277,Lude and Invergarry Farms Group 1,Validated,Other,Open Ground,20FGS48963,7,12.44,124350.46299743652,10160.596562734467
1430,Scotland,104000000027486,Breconside,,,Validated,Planted,Broadleaved (>80%),19FGS37378,8,10.89,108874.69177246094,6979.290081586902
1431,Scotland,104000000027486,Breconside,,,Validated,Planted,Conifer (>80%),19FGS37378,8,106.27,1062714.9333648682,15196.690228686397
1432,Scotland,104000000027486,Breconside,,,Validated,Planted,Mixed predominantly conifer (50-80%),19FGS37378,8,9.47,94677.76553344727,2680.554461730984
1433,Scotland,104000000027486,Breconside,,,Validated,Other,Open Ground,19FGS37378,8,36.67,366725.64616394043,21497.898119190435
1434,Scotland,104000000027487,Logie Longley Carbon,,,Validated,Planted,Broadleaved (>80%),19FGS41543,8,2.63,26335.856414794922,1749.9864126182608
1435,Scotland,104000000027487,Logie Longley Carbon,,,Validated,Planted,Conifer (>80%),19FGS41543,8,10.26,102579.53414916992,2305.778509193279
1436,Scotland,104000000027487,Logie Longley Carbon,,,Validated,Other,Open Ground,19FGS41543,8,1.26,12626.557067871094,1590.9740147624218
1437,Scotland,104000000027488,Morebattle Tofts,103000000017295,Forest Carbon Group Scheme 14,Validated,Planted,Broadleaved (>80%),19FGS39163,9,1.38,13847.077819824219,1981.5017641887885
1438,Scotland,104000000027488,Morebattle Tofts,103000000017295,Forest Carbon Group Scheme 14,Validated,Planted,Conifer (>80%),19FGS39163,9,8.82,88212.80657958984,3563.392649347141
1439,Scotland,104000000027488,Morebattle Tofts,103000000017295,Forest Carbon Group Scheme 14,Validated,Planted,Mixed predominantly conifer (50-80%),19FGS39163,9,6.91,69080.56031799316,3738.31896735421
1440,Scotland,104000000027488,Morebattle Tofts,103000000017295,Forest Carbon Group Scheme 14,Validated,Other,Open Ground,19FGS39163,9,1.14,11372.39126586914,1727.5503360485395
1441,Scotland,104000000027491,Auchineden Estate,,,Validated,Planted,Broadleaved (>80%),19FGS36858-001,7,3.47,34670.04592895508,2798.279967999769
1442,Scotland,104000000027491,Auchineden Estate,,,Validated,Planted,Conifer (>80%),19FGS36858-001,7,11.59,115907.03485107422,3826.7876954926137
1443,Scotland,104000000027491,Auchineden Estate,,,Validated,Other,Open Ground,19FGS36858-001,7,3.03,30260.744735717773,3639.3884631456144
1444,Scotland,104000000027500,Nether Glinns,,,Validated,Planted,Broadleaved (>80%),19FGS42243,8,4.74,47393.70022583008,1976.733959760351
1445,Scotland,104000000027500,Nether Glinns,,,Validated,Other,Existing Woodland,19FGS42243,8,1.79,17933.95491027832,1294.1667767232354
